branching,resilience,eta,strategy,mean_cost,std_cost,VaR_95,completion_var
0.2,5.0,0.0001,TWAP,18.028093435871547,6.409424100681435e-05,25.426981867283956,
0.2,5.0,0.0001,AC,18.8903031663288,6.409424100681435e-05,31.08309799536073,
0.2,5.0,0.0001,OW,88.93925080568211,6.409424100681435e-05,321.87531840768645,
0.2,5.0,0.0001,Hawkes-LQ,,6.409424100681435e-05,,
0.2,5.0,0.0005,TWAP,18.139204546982658,6.409424100681435e-05,25.538092978395067,
0.2,5.0,0.0005,AC,19.669681111542214,6.409424100681435e-05,30.17060762952726,
0.2,5.0,0.0005,OW,380.89112494702835,6.409424100681435e-05,1197.5422223303797,
0.2,5.0,0.0005,Hawkes-LQ,,6.409424100681435e-05,,
0.2,1.0,0.0001,TWAP,18.60465787670575,6.229376107669155e-05,25.426981867283956,
0.2,1.0,0.0001,AC,19.466867607163003,6.229376107669155e-05,31.08309799536073,
0.2,1.0,0.0001,OW,44.33876428568871,6.229376107669155e-05,153.09126405619543,
0.2,1.0,0.0001,Hawkes-LQ,,6.229376107669155e-05,,
0.2,1.0,0.0005,TWAP,18.715768987816862,6.229376107669155e-05,25.538092978395067,
0.2,1.0,0.0005,AC,20.24624555237642,6.229376107669155e-05,30.17060762952726,
0.2,1.0,0.0005,OW,150.84020285158937,6.229376107669155e-05,470.6162550991193,
0.2,1.0,0.0005,Hawkes-LQ,,6.229376107669155e-05,,
0.2,0.1,0.0001,TWAP,11.604486767451313,6.44722673680686e-05,25.426981867283956,
0.2,0.1,0.0001,AC,12.466696497908565,6.44722673680686e-05,31.08309799536073,
0.2,0.1,0.0001,OW,12.545331939203251,6.44722673680686e-05,37.525874255234136,
0.2,0.1,0.0001,Hawkes-LQ,,6.44722673680686e-05,,
0.2,0.1,0.0005,TWAP,11.715597878562424,6.44722673680686e-05,25.538092978395067,
0.2,0.1,0.0005,AC,13.24607444312198,6.44722673680686e-05,30.17060762952726,
0.2,0.1,0.0005,OW,16.62344670711707,6.44722673680686e-05,48.796705766580914,
0.2,0.1,0.0005,Hawkes-LQ,,6.44722673680686e-05,,
0.5,5.0,0.0001,TWAP,53.02777779230707,9.641311339861915e-05,25.426981867283956,
0.5,5.0,0.0001,AC,53.88998752276432,9.641311339861915e-05,31.08309799536073,
0.5,5.0,0.0001,OW,123.93893516211763,9.641311339861915e-05,321.87531840768645,
0.5,5.0,0.0001,Hawkes-LQ,,9.641311339861915e-05,,
0.5,5.0,0.0005,TWAP,53.13888890341818,9.641311339861915e-05,25.538092978395067,
0.5,5.0,0.0005,AC,54.66936546797774,9.641311339861915e-05,30.17060762952726,
0.5,5.0,0.0005,OW,415.89080930346387,9.641311339861915e-05,1197.5422223303797,
0.5,5.0,0.0005,Hawkes-LQ,,9.641311339861915e-05,,
0.5,1.0,0.0001,TWAP,53.19190298568612,9.284485547214036e-05,25.426981867283956,
0.5,1.0,0.0001,AC,54.05411271614337,9.284485547214036e-05,31.08309799536073,
0.5,1.0,0.0001,OW,78.92600939466908,9.284485547214036e-05,153.09126405619543,
0.5,1.0,0.0001,Hawkes-LQ,,9.284485547214036e-05,,
0.5,1.0,0.0005,TWAP,53.30301409679723,9.284485547214036e-05,25.538092978395067,
0.5,1.0,0.0005,AC,54.83349066135679,9.284485547214036e-05,30.17060762952726,
0.5,1.0,0.0005,OW,185.42744796056974,9.284485547214036e-05,470.6162550991193,
0.5,1.0,0.0005,Hawkes-LQ,,9.284485547214036e-05,,
0.5,0.1,0.0001,TWAP,46.37453358540524,9.220005936780846e-05,25.426981867283956,
0.5,0.1,0.0001,AC,47.23674331586249,9.220005936780846e-05,31.08309799536073,
0.5,0.1,0.0001,OW,47.315378757157184,9.220005936780846e-05,37.525874255234136,
0.5,0.1,0.0001,Hawkes-LQ,,9.220005936780846e-05,,
0.5,0.1,0.0005,TWAP,46.485644696516346,9.220005936780846e-05,25.538092978395067,
0.5,0.1,0.0005,AC,48.01612126107591,9.220005936780846e-05,30.17060762952726,
0.5,0.1,0.0005,OW,51.393493525071,9.220005936780846e-05,48.796705766580914,
0.5,0.1,0.0005,Hawkes-LQ,,9.220005936780846e-05,,
0.8,5.0,0.0001,TWAP,45.98188117654258,0.0001254950061141604,25.426981867283956,
0.8,5.0,0.0001,AC,46.84409090699983,0.0001254950061141604,31.08309799536073,
0.8,5.0,0.0001,OW,116.89303854635314,0.0001254950061141604,321.87531840768645,
0.8,5.0,0.0001,Hawkes-LQ,,0.0001254950061141604,,
0.8,5.0,0.0005,TWAP,46.092992287653686,0.0001254950061141604,25.538092978395067,
0.8,5.0,0.0005,AC,47.62346885221325,0.0001254950061141604,30.17060762952726,
0.8,5.0,0.0005,OW,408.8449126876994,0.0001254950061141604,1197.5422223303797,
0.8,5.0,0.0005,Hawkes-LQ,,0.0001254950061141604,,
0.8,1.0,0.0001,TWAP,46.5808417597894,0.00012018842532590988,25.426981867283956,
0.8,1.0,0.0001,AC,47.44305149024665,0.00012018842532590988,31.08309799536073,
0.8,1.0,0.0001,OW,72.31494816877236,0.00012018842532590988,153.09126405619543,
0.8,1.0,0.0001,Hawkes-LQ,,0.00012018842532590988,,
0.8,1.0,0.0005,TWAP,46.69195287090051,0.00012018842532590988,25.538092978395067,
0.8,1.0,0.0005,AC,48.22242943546007,0.00012018842532590988,30.17060762952726,
0.8,1.0,0.0005,OW,178.81638673467302,0.00012018842532590988,470.6162550991193,
0.8,1.0,0.0005,Hawkes-LQ,,0.00012018842532590988,,
0.8,0.1,0.0001,TWAP,33.301756470732876,0.0001178976414605022,25.426981867283956,
0.8,0.1,0.0001,AC,34.16396620119013,0.0001178976414605022,31.08309799536073,
0.8,0.1,0.0001,OW,34.24260164248482,0.0001178976414605022,37.525874255234136,
0.8,0.1,0.0001,Hawkes-LQ,,0.0001178976414605022,,
0.8,0.1,0.0005,TWAP,33.41286758184398,0.0001178976414605022,25.538092978395067,
0.8,0.1,0.0005,AC,34.94334414640355,0.0001178976414605022,30.17060762952726,
0.8,0.1,0.0005,OW,38.32071641039864,0.0001178976414605022,48.796705766580914,
0.8,0.1,0.0005,Hawkes-LQ,,0.0001178976414605022,,
